X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
-77.0078080882998,38.9111121083811,18096362,2018/06/14 09:07:51+00,DAY,OTHERS,BURGLARY,1 - 99 BLOCK OF Q STREET NE,399323,138138,5,5E,5,502,Cluster 21,008701 1,008701,Precinct 75,38.9111043182981,-77.0078058016532,,2018/06/14 05:40:52+00,2018/06/14 05:50:47+00,440980295,18096362-01
-76.9863740531449,38.9099675155442,18096368,2018/06/14 08:38:52+00,DAY,OTHERS,THEFT/OTHER,1700 - 1799 BLOCK OF WEST VIRGINIA AVENUE NE,401182,138011,5,5D,5,506,Cluster 23,008803 1,008803,Precinct 76,38.9099597248931,-76.9863717732439,,2018/06/14 04:00:13+00,2018/06/14 04:30:19+00,440980296,18096368-01
-77.0580866375496,38.9348258560286,18096406,2018/06/14 10:22:45+00,DAY,OTHERS,THEFT/OTHER,3319 - 3499 BLOCK OF CONNECTICUT AVENUE NW,394964,140772,3,3C,2,203,Cluster 15,001302 2,001302,Precinct 27,38.9348180630432,-77.0580843337946,,2018/06/14 09:21:17+00,2018/06/14 09:27:13+00,440980297,18096406-01
-77.0166396441897,38.9587380778005,18096408,2018/06/14 11:29:07+00,DAY,OTHERS,THEFT F/AUTO,300  - 313 BLOCK OF MADISON STREET NW,398558,143425,4,4B,4,402,Cluster 17,002102 1,002102,Precinct 64,38.9587302784502,-77.0166373518788,,2018/06/13 22:00:19+00,2018/06/14 10:50:25+00,440980298,18096408-01
-76.9995179344327,38.9245077567731,18096410,2018/06/14 10:03:42+00,DAY,OTHERS,MOTOR VEHICLE THEFT,400 - 599 BLOCK OF EVARTS STREET NE,400042,139625,5,5E,5,502,Cluster 21,009204 1,009204,Precinct 74,38.9244999636805,-76.9995156495497,,2018/06/14 09:11:10+00,2018/06/14 10:03:52+00,440980299,18096410-01
-76.9759616062941,38.9130286737026,18096413,2018/06/14 10:23:27+00,DAY,OTHERS,THEFT F/AUTO,1700 - 1758 BLOCK OF BLADENSBURG ROAD NE,402085,138351,5,5C,5,503,Cluster 23,008804 2,008804,Precinct 76,38.9130208820465,-76.9759593294496,,2018/06/12 13:30:00+00,2018/06/14 10:37:10+00,440980300,18096413-01
-76.9969617346246,38.8319915143813,18096420,2018/06/14 10:58:04+00,DAY,OTHERS,MOTOR VEHICLE THEFT,500 - 799 BLOCK OF YUMA STREET SE,400264,129355,8,8E,7,706,Cluster 39,009802 1,009802,Precinct 121,38.8319837398623,-76.9969594561754,,2018/06/12 17:00:32+00,2018/06/12 17:03:39+00,440980509,18096420-01
-76.9981937702585,38.8441169203008,18096421,2018/06/14 22:43:55+00,EVENING,OTHERS,THEFT/OTHER,3026 - 3099 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,400157,130701,8,8C,7,707,Cluster 39,010400 1,010400,Precinct 123,38.8441091433786,-76.9981914906886,,2018/06/13 21:00:01+00,2018/06/14 09:28:05+00,440980510,18096421-01
-77.0239692117361,38.8994350861984,18096422,2018/06/14 10:48:44+00,DAY,OTHERS,THEFT/OTHER,703 - 799 BLOCK OF 9TH STREET NW,397921,136842,2,2C,1,101,Cluster 8,005800 1,005800,Precinct 129,38.8994272990726,-77.0239669207698,DOWNTOWN,2018/06/14 09:00:58+00,2018/06/14 09:20:39+00,440980511,18096422-01
-77.0488082456682,38.9103905150914,18096429,2018/06/14 10:59:00+00,DAY,OTHERS,THEFT/OTHER,1500 - 1599 BLOCK OF 22ND STREET NW,395767,138059,2,2D,2,208,Cluster 6,004100 3,004100,Precinct 14,38.9103827266835,-77.048805946298,,2018/06/12 08:00:05+00,2018/06/12 17:00:13+00,440980512,18096429-01
-77.0106313110761,38.9002117806533,18096430,2018/06/14 10:48:12+00,DAY,OTHERS,THEFT F/AUTO,1 - 99 BLOCK OF H STREET NW,399078,136928,6,6E,1,102,Cluster 8,004702 1,004702,Precinct 1,38.9002039928735,-77.0106290242159,NOMA,2018/06/13 12:45:26+00,2018/06/13 13:30:35+00,440980513,18096430-01
-77.0400528870618,38.9440038720873,18096437,2018/06/14 11:08:38+00,DAY,OTHERS,THEFT F/AUTO,1700  - 1799 BLOCK OF WEBSTER STREET NW,396528,141790,4,4A,4,404,Cluster 18,002600 2,002600,Precinct 48,38.9439960765792,-77.0400505883607,,2018/06/13 19:45:38+00,2018/06/14 10:00:16+00,440980514,18096437-01
-76.9868011318777,38.8450800919502,18096441,2018/06/14 11:16:56+00,DAY,OTHERS,ROBBERY,1290 1408  BLOCK OF ALABAMA AVENUE SE,401146,130808,8,8E,7,703,Cluster 38,007304 1,007304,Precinct 120,38.8450723144098,-76.9867988557961,,2018/06/14 09:57:29+00,1970/01/01 00:00:00+00,440980515,18096441-01
-76.9937636431825,38.9215888950144,18096458,2018/06/14 11:52:54+00,DAY,OTHERS,THEFT/OTHER,2300 - 2499 BLOCK OF WASHINGTON PLACE NE,400541,139301,5,5C,5,505,Cluster 22,009102 2,009102,Precinct 72,38.9215811022957,-76.9937613602702,,2018/06/14 10:46:51+00,2018/06/14 11:53:17+00,440980516,18096458-01
-76.9785409139234,38.8479435507155,18096463,2018/06/14 11:56:23+00,DAY,OTHERS,THEFT/OTHER,1803 - 1841 BLOCK OF ALABAMA AVENUE SE,401863,131126,8,8E,7,704,Cluster 38,007403 1,007403,Precinct 116,38.8479357722897,-76.9785386402395,,2018/06/09 11:30:35+00,2018/06/14 11:56:46+00,440980517,18096463-01
-77.0307908484316,38.9191887892187,18096468,2018/06/14 13:59:14+00,DAY,OTHERS,THEFT F/AUTO,1300 - 1399 BLOCK OF W STREET NW,397330,139035,1,1B,3,305,Cluster 3,004400 1,004400,Precinct 22,38.9191809983648,-77.0307885541338,,2018/06/14 11:39:28+00,1970/01/01 00:00:00+00,440980518,18096468-01
-77.0246451997067,38.9207306711328,18096470,2018/06/14 12:12:48+00,DAY,OTHERS,THEFT F/AUTO,900 - 949 BLOCK OF BARRY PLACE NW,397863,139206,1,1B,3,304,Cluster 3,003500 2,003500,Precinct 37,38.9207228797388,-77.0246429072286,,2018/06/13 07:00:47+00,2018/06/13 13:30:11+00,440980519,18096470-01
